FORBES,-33.36137,147.93207
PINEY ,-33.85373,147.94195
EUGOWR,-33.4397,148.34533
GOALD1,-33.61965,148.4099
MINES ,-32.90223,147.98492
SKULLS,-32.9536,147.55457
BOGAN ,-33.12592,147.91043
TYAGON,-34.02107,148.2233
CROW  ,-34.11795,148.5013
BOOKHA,-34.82197,148.66543
GOALD4,-32.46363,148.989
TOMING,-32.56608,148.22657
DUNEDO,-32.0164,149.43363
BUMF  ,-32.19498,147.76218
GOALD6,-31.69323,148.29623
YEOVAL,-32.76052,148.64958
DAY7GO,-32.93585,148.74947
MARSDE,-33.75343,147.52865
YARRAB,-33.12908,147.57323
DAY8GO,-33.361,147.9315
